date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:25	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Jul%202022%2023:46:24%20GMT	https://usdtwealth.pro/robots.txt		(from )
01:46:25	38289/38289	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Jul%202022%2023:46:24%20GMT	https://usdtwealth.pro/	C:/Users/dimit/Desktop/2website/usdtwealth.pro/index.html	(from )
01:46:25	3879/3879	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2022:05:00%20GMT	https://usdtwealth.pro/css/bootstrap-reboot.min.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/bootstrap-reboot.min.css	(from https://usdtwealth.pro/)
01:46:25	50995/50995	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/bootstrap-grid.min.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/bootstrap-grid.min.css	(from https://usdtwealth.pro/)
01:46:26	3357/3357	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/owl.carousel.min.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/owl.carousel.min.css	(from https://usdtwealth.pro/)
01:46:26	42840/42840	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/jquery.mCustomScrollbar.min.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/jquery.mCustomScrollbar.min.css	(from https://usdtwealth.pro/)
01:46:26	3843/3843	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/nouislider.min.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/nouislider.min.css	(from https://usdtwealth.pro/)
01:46:26	46626/46626	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/ionicons.min.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/ionicons.min.css	(from https://usdtwealth.pro/)
01:46:27	24205/24205	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/plyr.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/plyr.css	(from https://usdtwealth.pro/)
01:46:27	4316/4316	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/photoswipe.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/photoswipe.css	(from https://usdtwealth.pro/)
01:46:27	12094/12094	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2008:13:16%20GMT	https://usdtwealth.pro/css/default-skin.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/default-skin.css	(from https://usdtwealth.pro/)
01:46:28	100084/100084	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2021:28:17%20GMT	https://usdtwealth.pro/css/main.css	C:/Users/dimit/Desktop/2website/usdtwealth.pro/css/main.css	(from https://usdtwealth.pro/)
01:46:28	7541/7541	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Aug%202021%2006:41:22%20GMT	https://usdtwealth.pro/apple-touch-icon.png	C:/Users/dimit/Desktop/2website/usdtwealth.pro/apple-touch-icon.png	(from https://usdtwealth.pro/)
01:46:28	1547/1547	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Aug%202021%2006:41:24%20GMT	https://usdtwealth.pro/favicon-32x32.png	C:/Users/dimit/Desktop/2website/usdtwealth.pro/favicon-32x32.png	(from https://usdtwealth.pro/)
01:46:28	1475/1475	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Aug%202021%2006:41:24%20GMT	https://usdtwealth.pro/favicon-16x16.png	C:/Users/dimit/Desktop/2website/usdtwealth.pro/favicon-16x16.png	(from https://usdtwealth.pro/)
01:46:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Jul%202022%2023:46:28%20GMT	https://usdtwealth.pro/site.webmanifest	C:/Users/dimit/Desktop/2website/usdtwealth.pro/site.webmanifest	(from https://usdtwealth.pro/)
01:46:29	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/dimit/Desktop/2website/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://usdtwealth.pro/)
